,nodeid,label,isSeed VARCHAR,seedRank INT,subscriberCount INT,videoCount INT,viewCount(100s) INT,country VARCHAR,publishedAt VARCHAR,daysactive INT
0,UCuaFvcY4MhZY3U43mMt1dYQ,Walt Disney Studios,yes,1,2499412,947,10893293,US,2008-11-18T20:34:44.000Z,3816
1,UCAwm8rSWCoi94powYWnhz6Q,Disney Family,no,,228620,336,206188,US,2005-11-24T06:58:39.000Z,4906
2,UCB0ABGbdSggBXLF0UdN4d5A,The Muppets,no,,702469,277,3494887,not set,2009-11-20T01:57:11.000Z,3450
3,UC_976xMxPgzIa290Hqtk-9g,Walt Disney Animation Studios,no,,3511643,347,22436777,US,2008-03-25T16:32:01.000Z,4054
4,UC_IRYSp4auq7hKLvziWVH6w,Pixar,no,,2552333,521,12507275,US,2006-09-19T17:42:01.000Z,4607
5,UC4IEmIzWf_X4lEPtGm7kgzQ,Disney Movies,no,,509143,310,898677,not set,2007-03-31T02:38:25.000Z,4415
6,UC_5niPa-d35gg88HaS7RrIw,Disney,no,,3632930,776,22566493,not set,2012-02-11T12:07:58.000Z,2636
7,UCbFnGyIcAhDrj-90OzvI7kw,Oh My Disney,no,,344389,450,963857,US,2013-07-11T06:09:13.000Z,2120
8,UCZSVJrC2Hnu92n2Lhez3KgA,Disney Style,no,,547115,477,1534234,not set,2012-02-27T20:05:43.000Z,2620
9,UC5K8SEF_7GQBedXIjtXLCRg,Mickey Mouse,no,,3008416,249,20604685,not set,2008-03-12T17:52:01.000Z,4067
10,UCP04kgS6hG3GFzL46mzdHUA,Babble,no,,54489,1114,163786,US,2006-02-05T18:37:45.000Z,4833
11,UCgdpS0NYRwFewg-nBXWO98g,Disney Eats,no,,7243,102,2786,US,2018-03-02T22:52:57.000Z,425
12,UCKUyqTCe-s0SVeLQbayv3hA,Disney Princess,no,,333091,168,2201733,US,2012-06-13T15:59:37.000Z,2513
