,node1,node2,directed
0,Walt Disney Studios,Disney Family,true
1,The Muppets,Disney Family,true
2,Walt Disney Animation Studios,Disney Family,true
3,Pixar,Disney Family,true
4,Disney Movies,Disney Family,true
5,Disney,Disney Family,true
6,Oh My Disney,Disney Family,true
7,Disney Style,Disney Family,true
8,Mickey Mouse,Disney Family,true
9,Babble,Disney Family,true
10,Disney Eats,Disney Family,true
11,Disney Princess,Disney Family,true
12,Walt Disney Studios,The Muppets,true
13,Disney Family,The Muppets,true
14,Disney,The Muppets,true
15,Oh My Disney,The Muppets,true
16,Mickey Mouse,The Muppets,true
17,Disney Eats,The Muppets,true
18,Walt Disney Studios,Walt Disney Animation Studios,true
19,Mickey Mouse,Walt Disney Animation Studios,true
20,Walt Disney Studios,Pixar,true
21,Disney Family,Pixar,true
22,Disney,Pixar,true
23,Oh My Disney,Pixar,true
24,Disney Style,Pixar,true
25,Mickey Mouse,Pixar,true
26,Disney Eats,Pixar,true
27,Disney Princess,Pixar,true
28,Walt Disney Studios,Disney Movies,true
29,Pixar,Disney Movies,true
30,Disney Family,Disney,true
31,The Muppets,Disney,true
32,Pixar,Disney,true
33,Oh My Disney,Disney,true
34,Disney Style,Disney,true
35,Mickey Mouse,Disney,true
36,Babble,Disney,true
37,Disney Eats,Disney,true
38,Disney Princess,Disney,true
39,Disney Family,Oh My Disney,true
40,The Muppets,Oh My Disney,true
41,Pixar,Oh My Disney,true
42,Disney,Oh My Disney,true
43,Disney Style,Oh My Disney,true
44,Mickey Mouse,Oh My Disney,true
45,Babble,Oh My Disney,true
46,Disney Eats,Oh My Disney,true
47,Disney Princess,Oh My Disney,true
48,Disney Family,Disney Style,true
49,The Muppets,Disney Style,true
50,Pixar,Disney Style,true
51,Disney,Disney Style,true
52,Oh My Disney,Disney Style,true
53,Mickey Mouse,Disney Style,true
54,Babble,Disney Style,true
55,Disney Eats,Disney Style,true
56,Disney Princess,Disney Style,true
57,Disney Family,Mickey Mouse,true
58,The Muppets,Mickey Mouse,true
59,Disney,Mickey Mouse,true
60,Oh My Disney,Mickey Mouse,true
61,Disney Style,Mickey Mouse,true
62,Disney Eats,Mickey Mouse,true
63,Disney Princess,Mickey Mouse,true
64,Disney Family,Babble,true
65,Disney Style,Babble,true
66,Disney Family,Disney Eats,true
67,Pixar,Disney Eats,true
68,Disney,Disney Eats,true
69,Oh My Disney,Disney Eats,true
70,Disney Style,Disney Eats,true
71,Babble,Disney Eats,true
72,Pixar,Disney Princess,true
73,Disney,Disney Princess,true
74,Disney Movies,Walt Disney Studios,true
