,nodeid,label,isSeed VARCHAR,seedRank INT,publishedAt INT,channelTitle VARCHAR,channelId VARCHAR,videoCategoryLabel VARCHAR,viewCount INT,likeCount INT,dislikeCount INT,dislikeLikeRatio FLOAT,favoriteCount INT,commentCount INT,label_clean,title_language,url,seed_channel
0,Ut9iby5VChA,spider man and elsa have a new baby,yes,1,1503406880,wai bom,UCir-ay37PYv8-lQOk_dxzFA,People & Blogs,2406035,2918,1110,0.38039753255655,0,268,spider man and elsa have a new baby,en,https://www.youtube.com/watch?v=Ut9iby5VChA,True
1,3ZdXn-uYz7I,Elsa  Anna And Olaf In The Pool Frozen,yes,2,1484845230,Mathias Jost,UC96vy6lHoIKWSevWJEC47xA,People & Blogs,1763,12,12,1,0,5,Elsa  Anna And Olaf In The Pool Frozen,en,https://www.youtube.com/watch?v=3ZdXn-uYz7I,True
2,G_qx2ZeHJ4o,ละครหรรษา เอลซ่าคลอดลูก เเฝงข้อคิด l พี่อีฟ ข้าว เค้ก Eve My Tube,no,,1491475843,Eve My Tube,UC0xH3QQdLAIu7srkkbTG8CQ,Entertainment,7016116,7799,3136,0.40210283369663,0,675,ละครหรรษา เอลซ่าคลอดลูก เเฝงข้อคิด l พี่อีฟ ข้าว เค้ก Eve My Tube,th,https://www.youtube.com/watch?v=G_qx2ZeHJ4o,False
3,7nw-QA_-ED8,This is Your Pregnancy in 2 Minutes | Glamour,no,,1502205344,Glamour,UCY9eEaH19ulZmdusctU1ejA,Entertainment,43156098,207189,12103,0.058415263358576,0,7579,This is Your Pregnancy in 2 Minutes | Glamour,en,https://www.youtube.com/watch?v=7nw-QA_-ED8,False
4,Jy2dTbOGTBE,The Deli Show - הריון,no,,1427363679,Post Hostel,UCD4MbghmkGS3aF5ymsc8_bw,People & Blogs,7880193,4354,1718,0.3945796968305,0,53,The Deli Show - הריון,en,https://www.youtube.com/watch?v=Jy2dTbOGTBE,False
5,CQ_C9KeeEbk,LA PETITE SIRENE LowCost (Alex Ramirès),no,,1531326601,Alex Ramirès,UCp_CBY2rEWs_CPI3HaC6tbg,Comedy,47904738,110190,33820,0.30692440330339,0,2507,La Petite Sirene LowCost (Alex Ramirès),fr,https://www.youtube.com/watch?v=CQ_C9KeeEbk,False
6,ZgkkJjKpDvw,Engendros TV: Nuevellizos.,no,,1233984252,ClubEngendros,UCN6rjYMkYv5eUAHbFwDbQmg,Comedy,19302563,15064,5875,0.39000265533723,0,604,Engendros Tv: Nuevellizos.,es,https://www.youtube.com/watch?v=ZgkkJjKpDvw,False
7,_75wztsXeUo,Making Off | Ensaio de JUNHO | LadyBug e Cat Noir,no,,1499533412,Way to Hero,UCRBhx25KHV4wUhKsO29BNgw,People & Blogs,575243,2083,243,0.11665866538646,0,30,Making Off | Ensaio de Junho | LadyBug e Cat Noir,en,https://www.youtube.com/watch?v=_75wztsXeUo,False
8,BBm_5LSedM4,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,no,,1552641301,Crafty Panda DIY,UCYDKUHScAVoI_UTVuA7ThcQ,Howto & Style,3635903,6465,2433,0.37633410672854,0,113,Oh Baby Baby! Romantic Date is Over! Amazing Diy Hacks Love and More Ideas,en,https://www.youtube.com/watch?v=BBm_5LSedM4,False
9,eJqszZw6F6I,McDonalds Drive Thru Prank!! Batman Payback Time for Spiderman Ckn Toys,no,,1500423727,CKN Toys,UCfaZw8XH_zmAVkBst_MPD6w,Entertainment,126942725,200689,88731,0.44213185575692,0,,McDonalds Drive Thru Prank!! Batman Payback Time for Spiderman Ckn Toys,en,https://www.youtube.com/watch?v=eJqszZw6F6I,False
