,node1,node2,directed
0,spider man and elsa have a new baby,ละครหรรษา เอลซ่าคลอดลูก เเฝงข้อคิด l พี่อีฟ ข้าว เค้ก Eve My Tube,true
1,SHE IS MY PREGNANT PRINCESS!!,ละครหรรษา เอลซ่าคลอดลูก เเฝงข้อคิด l พี่อีฟ ข้าว เค้ก Eve My Tube,true
2,Magician s baby does trick from INSIDE THE BELLY!,ละครหรรษา เอลซ่าคลอดลูก เเฝงข้อคิด l พี่อีฟ ข้าว เค้ก Eve My Tube,true
3,spider man and elsa have a new baby,This is Your Pregnancy in 2 Minutes | Glamour,true
4,The Deli Show - הריון,This is Your Pregnancy in 2 Minutes | Glamour,true
5,Engendros TV: Nuevellizos.,This is Your Pregnancy in 2 Minutes | Glamour,true
6,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,This is Your Pregnancy in 2 Minutes | Glamour,true
7,veggies & fruits I pregnancy time lapse,This is Your Pregnancy in 2 Minutes | Glamour,true
8,Pregnant Pink Spidergirl with Spiderman and The New Spiderbaby,This is Your Pregnancy in 2 Minutes | Glamour,true
9,PREPARING FOR BABY S ARRIVAL!,This is Your Pregnancy in 2 Minutes | Glamour,true
10,SHE IS MY PREGNANT PRINCESS!!,This is Your Pregnancy in 2 Minutes | Glamour,true
11,Magician s baby does trick from INSIDE THE BELLY!,This is Your Pregnancy in 2 Minutes | Glamour,true
12,Girl gives birth in toilet,This is Your Pregnancy in 2 Minutes | Glamour,true
13,spider man and elsa have a new baby,The Deli Show - הריון,true
14,spider man and elsa have a new baby,LA PETITE SIRENE LowCost (Alex Ramirès),true
15,SNOW WHITE vs ELSA: Princess Rap Battle (Whitney Avalon ft. Katja Glieson) *explicit*,LA PETITE SIRENE LowCost (Alex Ramirès),true
16,spider man and elsa have a new baby,Engendros TV: Nuevellizos.,true
17,Girl gives birth in toilet,Engendros TV: Nuevellizos.,true
18,spider man and elsa have a new baby,Making Off | Ensaio de JUNHO | LadyBug e Cat Noir,true
19,spider man and elsa have a new baby,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,true
20,Making Off | Ensaio de JUNHO | LadyBug e Cat Noir,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,true
21,PREPARING FOR BABY S ARRIVAL!,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,true
22,Life Saving Wedding Hacks You Must Try! Marriage or Hatred  Life Hacks Gives you Happy a Lifetime,Oh Baby Baby! Romantic Date is Over! AMAZING DIY HACKS LOVE and More Ideas,true
23,spider man and elsa have a new baby,McDonalds Drive Thru Prank!! Batman Payback Time for Spiderman Ckn Toys,true
24,Girl Spiderman vs. Captain America Battle - Super Hero Battle 2K17,McDonalds Drive Thru Prank!! Batman Payback Time for Spiderman Ckn Toys,true
