,edgedef>node1 VARCHAR,node2 VARCHAR,directed BOOLEAN
0,Ut9iby5VChA,G_qx2ZeHJ4o,true
1,Ut9iby5VChA,7nw-QA_-ED8,true
2,Ut9iby5VChA,Jy2dTbOGTBE,true
3,Ut9iby5VChA,CQ_C9KeeEbk,true
4,Ut9iby5VChA,ZgkkJjKpDvw,true
5,Ut9iby5VChA,_75wztsXeUo,true
6,Ut9iby5VChA,BBm_5LSedM4,true
7,Ut9iby5VChA,eJqszZw6F6I,true
8,Ut9iby5VChA,nfXJ9hX5tvs,true
9,Ut9iby5VChA,9-rv1TpxxnA,true
10,Ut9iby5VChA,TdDf5L8eJjM,true
11,Ut9iby5VChA,gS0117pUx4o,true
12,Ut9iby5VChA,kFzWC_O07i0,true
13,Ut9iby5VChA,o61fbnPCYqI,true
14,Ut9iby5VChA,bDV3ee3NSAg,true
15,Ut9iby5VChA,RCGFX-uNieI,true
16,Ut9iby5VChA,GLLVqP6BFss,true
17,Ut9iby5VChA,WM3nRomp2MU,true
18,Ut9iby5VChA,nsXAyP6gcLQ,true
19,Ut9iby5VChA,960EsdQVlho,true
20,Ut9iby5VChA,_dvqXmxyAU4,true
21,Ut9iby5VChA,HBfaphKxQ-o,true
22,Ut9iby5VChA,jtCJJMCdBsg,true
23,Ut9iby5VChA,YGWO1YiEy2I,true
24,Ut9iby5VChA,YsgpKuXq3DE,true
25,Ut9iby5VChA,-vekelutfMI,true
26,Ut9iby5VChA,eWxLkjBRJck,true
27,Ut9iby5VChA,5ckJRjUO9ck,true
28,Ut9iby5VChA,mIxYYV31X-A,true
29,Ut9iby5VChA,C22Hqz7tOAM,true
30,Ut9iby5VChA,_oSpmHcTUqg,true
31,Ut9iby5VChA,6xxp5dQe5sU,true
32,Ut9iby5VChA,rhU3HG38of8,true
33,Ut9iby5VChA,6yR9tG1d1tM,true
34,Ut9iby5VChA,tw1L5VUN2cI,true
35,Ut9iby5VChA,Dlf1_vuIR4I,true
36,Ut9iby5VChA,rLGtEIKBsvg,true
37,Ut9iby5VChA,L_5Rfu1LVpE,true
38,Ut9iby5VChA,BzxbXLbgLe0,true
39,Ut9iby5VChA,SxLrrBhYm-M,true
40,Ut9iby5VChA,gcrQvoCzs80,true
41,Ut9iby5VChA,ApXoWvfEYVU,true
42,Ut9iby5VChA,031tOogbAIU,true
43,Ut9iby5VChA,4a8Gbi6VSTM,true
44,Ut9iby5VChA,bUdUlUry4po,true
45,Ut9iby5VChA,fBdf1a-hvO4,true
46,Ut9iby5VChA,G21rVwx7liE,true
47,Ut9iby5VChA,y-s3LI2BSPM,true
48,Ut9iby5VChA,p_WNE2U_pgo,true
49,3ZdXn-uYz7I,J4l6j3ThOLo,true
50,3ZdXn-uYz7I,ZSAHB-ro3PU,true
51,3ZdXn-uYz7I,t0-0wzihR2k,true
52,3ZdXn-uYz7I,WuRMJPIStfU,true
53,3ZdXn-uYz7I,1mxqTDIJfTg,true
54,3ZdXn-uYz7I,iEKLFS-aKcw,true
55,3ZdXn-uYz7I,rDZxRdP3mrE,true
56,3ZdXn-uYz7I,Mn34Dg56yME,true
57,3ZdXn-uYz7I,3u1GL_Tl2eY,true
58,3ZdXn-uYz7I,VL5GkJAIPIE,true
59,3ZdXn-uYz7I,hMeiDVv5t8I,true
60,3ZdXn-uYz7I,66zAOaltxIM,true
61,3ZdXn-uYz7I,9b5jXSQYRRY,true
62,3ZdXn-uYz7I,OjMT8ItkM8w,true
63,3ZdXn-uYz7I,U1HV6xfwq-c,true
64,3ZdXn-uYz7I,pOUcMdNQSHM,true
65,3ZdXn-uYz7I,-Ri9HSs2T7g,true
66,3ZdXn-uYz7I,v1CpGibhLeg,true
67,3ZdXn-uYz7I,rJJ3rO_-6o0,true
68,3ZdXn-uYz7I,zpg-EIhjqEw,true
69,3ZdXn-uYz7I,4GFqK2vXGps,true
70,3ZdXn-uYz7I,U2YRpYYcpos,true
71,3ZdXn-uYz7I,0cajKlte_do,true
72,3ZdXn-uYz7I,DK0wmIyjnyE,true
73,3ZdXn-uYz7I,Nsu0rMxiUYo,true
74,3ZdXn-uYz7I,yb6w44timt4,true
75,3ZdXn-uYz7I,HEBAfAEEEoI,true
76,3ZdXn-uYz7I,jnCD36AKpqE,true
77,3ZdXn-uYz7I,nG0SspQMneE,true
78,3ZdXn-uYz7I,b4j1jf-NSrw,true
79,3ZdXn-uYz7I,0PRN0U1V0Vc,true
80,3ZdXn-uYz7I,a3MUc1QhlIs,true
81,3ZdXn-uYz7I,_sM2wDDy7ok,true
82,3ZdXn-uYz7I,6WV_v_TcuUA,true
83,3ZdXn-uYz7I,Q7OrpRPTrDw,true
84,7nw-QA_-ED8,6xxp5dQe5sU,true
85,7nw-QA_-ED8,5ckJRjUO9ck,true
86,7nw-QA_-ED8,YsgpKuXq3DE,true
87,7nw-QA_-ED8,fBdf1a-hvO4,true
88,Jy2dTbOGTBE,Ut9iby5VChA,true
89,Jy2dTbOGTBE,7nw-QA_-ED8,true
